Organisatie ID;Organisatienaam;Organisatiecode;organisationKboNumber;Concept status;parentCode;nisCode;ovoKey;shortName;socialName;Laatst gewijzigd op;organisationForeignCode;organisationAssociationRegisterCode
OVO001835;Agentschap Binnenlands Bestuur;OVO001835;;ACTIVE;;;OVO001835;ABB;Agentschap Binnenlands Bestuur;30/12/2025;;
OVO002949;agentschap Digitaal Vlaanderen;OVO002949;;ACTIVE;;;OVO002949;DV;agentschap Digitaal Vlaanderen;21/04/2026;;
OVO001834;Agentschap Facilitair Bedrijf;OVO001834;;ACTIVE;;;OVO001834;AFB;Agentschap Facilitair Bedrijf;02/02/2026;;
OVO001846;Agentschap Integratie en Inburgering;OVO001846;;ACTIVE;;;OVO001846;AgII;Agentschap Integratie en Inburgering;30/12/2025;;
OVO049152;Agentschap Justitie en Handhaving;OVO049152;;ACTIVE;;;OVO049152;AJH;Agentschap Justitie en Handhaving;01/04/2026;;
OVO000082;Agentschap Landbouw en Zeevisserij;OVO000082;;ACTIVE;;;OVO000082;LV;Agentschap Landbouw en Zeevisserij;30/12/2025;;
OVO001833;Agentschap Overheidspersoneel;OVO001833;;ACTIVE;;;OVO001833;AgO;Agentschap Overheidspersoneel;31/03/2026;;
OVO001523;Agentschap Plantentuin Meise;OVO001523;;ACTIVE;;;OVO001523;A Pl Meise;Agentschap Plantentuin Meise;30/12/2025;;
OVO000120;AGENTSCHAP VLAAMSE SOCIALE BESCHERMING;OVO000120;;ACTIVE;;;OVO000120;;Agentschap Vlaamse Sociale Bescherming;25/03/2026;;
OVO001951;Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen;OVO001951;;ACTIVE;;;OVO001951;AHOVOKS;Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen;01/04/2026;;
OVO000053;Agentschap voor Infrastructuur in het Onderwijs;OVO000053;;ACTIVE;;;OVO000053;AGION;Agentschap voor Infrastructuur in het Onderwijs;30/12/2025;;
OVO000097;Agentschap voor Maritieme Dienstverlening en Kust;OVO000097;;ACTIVE;;;OVO000097;MDK;Agentschap voor Maritieme Dienstverlening en Kust;30/12/2025;;
OVO000089;Agentschap voor Natuur en Bos;OVO000089;;ACTIVE;;;OVO000089;ANB;Agentschap voor Natuur en Bos;01/04/2026;;
OVO000050;Agentschap voor Onderwijsdiensten;OVO000050;;ACTIVE;;;OVO000050;AgODi;Agentschap voor Onderwijsdiensten;30/12/2025;;
OVO000098;Agentschap Wegen en Verkeer;OVO000098;;ACTIVE;;;OVO000098;AINFRA;Agentschap Wegen en Verkeer;01/04/2026;;
593c6a40-694d-4e22-b0f2-98f7483f4188;Annick De Ridder, Vlaams minister van Mobiliteit, Openbare Werken, Havens en Sport;OVO054212;;ACTIVE;;;OVO054212;;Annick De Ridder, Vlaams minister van Mobiliteit, Openbare Werken, Havens en Sport;06/02/2026;;
OVO048640;Atos - ICT-partner voor Cloud- en datacenterdiensten;OVO048640;;ACTIVE;;;OVO048640;;;25/11/2025;;
OVO048641;Atos - ICT-partner voor Service-integratiediensten;OVO048641;;ACTIVE;;;OVO048641;;;25/11/2025;;
OVO001832;Audit Vlaanderen;OVO001832;;ACTIVE;;;OVO001832;Audit;Audit Vlaanderen;30/12/2025;;
OVO000122;Beheersmaatschappij Antwerpen Mobiel;OVO000122;860139085;ACTIVE;;;OVO000122;;Beheersmaatschappij Antwerpen Mobiel;30/12/2025;;
ca1c4692-5221-4590-8ab3-409ba1fa10bc;Ben Weyts, viceminister-president van de Vlaamse Regering en Vlaams minister van Begroting en Financiën, Vlaamse Rand, Onroerend Erfgoed en Dierenwelzijn;OVO054207;;ACTIVE;;;OVO054207;;Ben Weyts, viceminister-president van de Vlaamse Regering en Vlaams minister van Begroting en Financiën, Vlaamse Rand, Onroerend Erfgoed en Dierenwelzijn;30/12/2025;;
47f8c1f9-6d2e-428d-a829-c2c0ef5c5b80;Caroline Gennez, Vlaams minister van Welzijn en Armoedebestrijding, Cultuur en Gelijke Kansen;OVO054210;;ACTIVE;;;OVO054210;;Caroline Gennez, Vlaams minister van Welzijn en Armoedebestrijding, Cultuur en Gelijke Kansen;30/12/2025;;
OVO048643;Cegeka - ICT-partner voor Werkplekdiensten;OVO048643;;ACTIVE;;;OVO048643;;;25/11/2025;;
643c500f-f110-4b83-89e3-f07eec92afcf;Cieltje Van Achter, Vlaams minister van Brussel en Media;OVO054213;;ACTIVE;;;OVO054213;;Cieltje Van Achter, Vlaams minister van Brussel en Media;12/03/2026;;
OVO048644;Cronos Public Services - ICT-partner voor Applicatiediensten;OVO048644;;ACTIVE;;;OVO048644;;;08/01/2026;;
OVO003327;Cultuurconnect;OVO003327;;ACTIVE;;;OVO003327;;Cultuurconnect;30/12/2025;;
OVO004224;De Ambrassade;OVO004224;475787275;ACTIVE;;;OVO004224;;De Ambrassade;30/12/2025;;
OVO000073;De Vlaamse Radio- en Televisieomroeporganisatie;OVO000073;;ACTIVE;;;OVO000073;;De Vlaamse Radio- en Televisieomroeporganisatie;30/12/2025;;
OVO000112;DE VLAAMSE WATERWEG;OVO000112;;ACTIVE;;;OVO000112;DVW;De Vlaamse Waterweg;20/04/2026;;
OVO001559;De Werkvennootschap;OVO001559;;ACTIVE;;;OVO001559;Via Invest;De Werkvennootschap;30/12/2025;;
OVO000067;Departement Cultuur, Jeugd en Media;OVO000067;;ACTIVE;;;OVO000067;DCJM;Departement Cultuur, Jeugd en Media;19/03/2026;;
OVO000029;Departement Financiën en Begroting;OVO000029;;ACTIVE;;;OVO000029;DFB;Departement Financiën en Begroting;09/02/2026;;
OVO000032;Departement Kanselarij en Buitenlandse Zaken;OVO000032;;ACTIVE;;;OVO000032;DKBUZA;Departement Kanselarij en Buitenlandse Zaken;30/12/2025;;
OVO000096;Departement Mobiliteit en Openbare Werken;OVO000096;;ACTIVE;;;OVO000096;DMOW;Departement Mobiliteit en Openbare Werken;23/04/2026;;
OVO003323;Departement Omgeving;OVO003323;;ACTIVE;;;OVO003323;DOMG;Departement Omgeving;01/04/2026;;
OVO000049;Departement Onderwijs en Vorming;OVO000049;;ACTIVE;;;OVO000049;DOV;Departement Onderwijs en Vorming;29/01/2026;;
eef859ec-95fe-445e-b76f-b34e5e382501;Departement Werk, Economie, Wetenschap, Innovatie en Sociale Economie;OVO053580;;ACTIVE;;;OVO053580;DWEWIS;Departement Werk, Economie, Wetenschap, Innovatie en Sociale Economie;01/04/2026;;
OVO000056;Departement Zorg;OVO000056;;ACTIVE;;;OVO000056;Zorg;Departement Zorg;01/04/2026;;
OVO000558;Dienst met Afzonderlijk Beheer Loodswezen;OVO000558;767420151;ACTIVE;;;OVO000558;DAB Loodsw;DAB Loodswezen;30/12/2025;;
OVO000559;Dienst met Afzonderlijk Beheer Vloot;OVO000559;;ACTIVE;;;OVO000559;DAB Vloot;DAB Vloot;30/12/2025;;
OVO001831;Dienst van de Bestuursrechtscolleges;OVO001831;;ACTIVE;;;OVO001831;DBRC;Dienst van de Bestuursrechtscolleges;31/03/2026;;
OVO001830;Dienst van de gouverneurs;OVO001830;;ACTIVE;;;OVO001830;DVG;Dienst van de gouverneurs;30/12/2025;;
OVO048649;DXC Technology - ICT-partner voor mainframediensten;OVO048649;;ACTIVE;;;OVO048649;;;25/11/2025;;
OVO048646;DXC-Cegeka - ICT-partner voor Applicatiediensten;OVO048646;;ACTIVE;;;OVO048646;;;08/12/2025;;
f3779ec8-bc0c-4c5c-808f-e2499f1fdae6;"Eigen Vermogen ""Flanders Hydraulics";OVO000223;;ACTIVE;;;OVO000223;Flanders H;Flanders Hydraulics (FH);30/12/2025;;
OVO002956;Eigen Vermogen Digitaal Vlaanderen;OVO002956;;ACTIVE;;;OVO002956;;Eigen Vermogen Digitaal Vlaanderen;30/12/2025;;
OVO000146;Eigen Vermogen van het Instituut voor Natuur- en Bosonderzoek;OVO000146;;ACTIVE;;;OVO000146;EVINBO;Eigen Vermogen van het Instituut voor Natuur- en Bosonderzoek;30/12/2025;;
OVO000147;EIGEN VERMOGEN VH INSTITUUT VOOR LANDBOUW- EN VISSERIJONDERZOEK;OVO000147;;ACTIVE;;;OVO000147;EV ILVO;EIGEN VERMOGEN VH INSTITUUT VOOR LANDBOUW- EN VISSERIJONDERZOEK;30/12/2025;;
7d6d69ed-aa69-40b1-9b40-931eb1110581;Eigen Vermogen Xperta;OVO053646;;ACTIVE;;;OVO053646;EV XP;Eigen Vermogen Xperta;30/12/2025;;
